project,without,with
adobe-commerce-cif-magento-graphql,2340,2347
albfernandez-itext2,4152,4176
alfasoftware-soapstone,4485,4461
alibaba-compileflow,3325,3339
apache-commons-codec,21517,21503
apache-commons-imaging,29395,28636
apache-dubbo-hessian-lite,2586,2526
apache-sling-org-apache-sling-servlets-resolver,4471,4453
apache-xmlgraphics-commons,6668,6644
ATLANTBH-owl,2299,2299
attoparser-attoparser,64330,64157
awslabs-aws-glue-catalog-sync-agent-for-hive,2179,2200
Azure-azure-functions-java-worker,6243,6237
Azure-Samples-cassandra-proxy,1716,1676
ben-xo-cdjscrobbler,1784,1799
bkatwal-kafka-solr-sink-connector,1995,2028
blackbeard334-djoom3,1596,1609
Blazemeter-xtn5250,45255,44825
bruceran-krpc,2933,2952
casbin-jcasbin,3228,3260
cellsrg-tabbypdf,1416,1410
chengdedeng-waf,4841,4913
codeine-cd-codeine,2328,1814
darmiel-eeee,1457,1436
davidmoten-aws-maven-plugin,2026,1997
demidenko05-beigesoft-accounting,2844,2869
demidenko05-beigesoft-webstore,2528,2494
dingjs-javaagent,1473,1439
dnsjava-dnsjava,17779,17785
domclick-kafka-logback,1875,1896
erdtman-java-json-canonicalization,1751,2297
errai-errai,10180,10234
EsotericSoftware-yamlbeans,1919,1924
EXIficient-exificient-core,2345,1931
f4b6a3-uuid-creator,21735,21797
fabric8io-docker-maven-plugin,34547,34882
finmath-finmath-lib,1465449,1459506
fizzed-jne,3749,3176
forcedotcom-wsc,11830,11837
fsantiag-sonar-clojure,2869,2557
gabrie-allaigre-sonar-gitlab-plugin,21797,21794
george-haddad-cardme,1549,1539
googleapis-disco-to-proto3-converter,2105,2103
graphstream-gs-core,10329,10294
hageldave-ezFFTW,38133,59561
Harium-keel,1887,1890
hermannpencole-nifi-config,8759,8401
heroku-heroku-jvm-application-deployer,2191,1827
hummeling-if97,1919,1922
iamazy-elasticsearch-sql2,2440,2472
IBlogLab-enhance-gateway,4574,3859
iipc-jwarc,1970,1963
iotaledger-cliri,21774,22604
Isaac315-sql-translator,2027,1996
jai-imageio-jai-imageio-core,3293,3301
jano7-executor,4814,4783
JeffLi1993-java-core-learning-example,2358,2348
jenkins-infra-update-center2,29695,29878
jessin20161124-miniDubboOpen,2271,2231
jetlang-remoting,22629,22129
jfinal-jfinal,2158,2132
jhunters-jprotobuf,6553,6518
jonatan-kazmierczak-class-visualizer,1347,1736
joniles-mpxj,14157,13523
jruby-jcodings,1836,1846
jruby-joni,6000,5994
jtidy-jtidy,2630,2632
junichi11-netbeans-color-codes-preview,2383,2389
keighrim-mae-annotation,7038,6908
lastaflute-lastaflute,2137,2147
leonhad-paradoxdriver,4458,3996
lettuce-io-lettuce-core,8115,8181
loehndorf-scengen,1896,1874
logpresso-CVE-2021-44228-Scanner,1495,1510
lzgabel-camunda-cloud-bpmn-converter,3638,3626
mangstadt-biweekly,4135,4097
MarkShen1992-Mashibing_High_Concurrency,2475,2466
maven-nar-nar-maven-plugin,2559,2546
maxmind-geoip-api-java,1865,1891
messai-engineering-Yuga,2123,2128
meteoinfo-wContour,1423,1402
mimno-Mallet,17316,17878
monkeymq-jgossip,2377,2390
narupley-not-going-to-be-commons-ssl,15027,14941
Neop-mudmap2,1986,1578
nothingax-micro-DB,11342,11628
OpenLiberty-ci.common,3609,3611
OWASP-json-sanitizer,2607,2321
package-url-packageurl-java,2007,1544
PawelGorny-lostword,6727,6614
peterbencze-serritor,2866,2864
PeterisP-morphology,11528,6773
pfmiles-min-velocity,1393,1432
pingcap-tidb-loadbalance,1407,1407
PlayPen-playpen-core,4020,3988
ripreal-V8LogScanner,2450,2421
rythmengine-rythmengine,22611,22667
Sayi-swagger-diff,2586,2545
sbesada-java.math.expression.parser,11044,11000
sbesada-java.math.numerical.library,2886,2933
seansegal-tincisnotcatan,1758,1740
smola-galimatias,2203,2206
sorra-TraceSonar,1789,1779
sranka-jdbcimage,1793,1813
StarlangSoftware-Corpus,2893,2854
StarlangSoftware-TurkishMorphologicalAnalysis,41498,44622
StarlangSoftware-TurkishMorphologicalDisambiguation,38727,37935
StaticBeagle-ETK4J,1628,1651
STEMLab-JIneditor,1818,1812
streamx-co-ExTree,3484,3508
streamx-co-FluentJPA,10965,10938
stupid1t-poi-excel,2734,2730
sylvainlaurent-swagger-validator-maven-plugin,3026,3011
Thare-Lam-fast-elasticsearch-query-builder,1658,1656
TheHolyWaffle-TeamSpeak-3-Java-API,1529,1542
ThreeTen-threetenbp,6153,6207
tommyettinger-RegExodus,2789,2795
tud-fop-j-Algo,4765,4799
tvesalainen-bcc,1570,1579
uber-common-jvm-profiler,4903,4976
unitsofmeasurement-unit-ri,3119,3148
vangj-jbayes,1854,1854
vincentrussell-java-ini-parser,1501,1500
vizor-games-infraworld-cornerstone,1563,1551
vmzakharov-dataframe-ec,2711,2763
xcsp3team-XCSP3-Java-Tools,3504,3467
ysc-word,27154,26372
yuch7-cwlexec,4012,4012
Zettelkasten-Team-Zettelkasten,2883,2907
3redronin-mu-server,87112,87112
apache-commons-compress,34621,34621
datadotworld-dw-jdbc,3948,3948
delthas-JavaMP3,5545,5545
finos-messageml-utils,3405,3405
HelixNetwork-pendulum,25126,25126
hoijui-Jawk,1966,1966
jahlborn-jackcess,28151,28151
magdel-MapNav,2486,2486
mjsalerno-UnoBot,1348,1348
mojohaus-license-maven-plugin,3757,3757
mvel-mvel,10303,10303
openskynetwork-java-adsb,1361,1361
pvto-konte-art,1716,1716
SpringStudent-GyJdbc,1628,1628
spullara-java-future-jdk8,103387,103387
wso2-config-mapper,4208,4208
AwakenCN-InChat,1323,
JoonasVali-jartin,1338,
LHNCBC-metamaplite,1983,
LiveRamp-HyperMinHash-java,83812,
SvenEwald-xmlbeam,3515,
axelhjalm-bitwig-midi-fighter-twister,1363,
codelibs-jcifs,2036,
dakusui-jcunit,8798,
digitalheir-java-nfa,1667,
inversoft-restify,1968,
iris-edu-stationxml-seed-converter,25653,
msemys-esjc,1934,
pmlopes-aws-lambda-native-vertx,1644,
remondis-it-pact-consumer-builder,3230,
swtcpro-jingtum-lib-java,1723,
toolbox4minecraft-amidst,2102,
vert-x3-vertx-docgen,2716,
walmartlabs-gozer,2396,
yinlou-mltk,1700,
